CookerStat, GenerateAssetRegistry=0.023492, Initialize=0.123482, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_982881B2414E31DBAC967E97A54EC602__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=485, Duration=4.428506, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_035BD531426351BF2481BFA397E52ED4__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=392, Duration=1.393545, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF2CBE9940A66A81CE13FC847618880D__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.440529, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D0A984824A72046547FD73A94B0BEEB4__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=397, Duration=1.757067, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3F7E3A64B7B47DDE792DFB110B98E2A__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=492, Duration=3.880966, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A1DF29F4F9FAD32B892D3AB1E85B2A5__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=378, Duration=3.090076, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F09E78D347E30B724C9740A5D69F8DB3__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=390, Duration=2.019391, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5CC4175C4C41B8B26F6E6B93B483764F__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=378, Duration=1.784172, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId5A144B3B467946F59E449ABEC5B97B53_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018927DA4C4697EEE342AB976C33DFC4__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=411, Duration=1.675446, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdBAD607BD4D1E023AE0BC8E86D38719CE_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30D7DCA44F69A1FBBA97A7B82774BAF9__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.370657, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId4895D8EC409D7CBD919849BB8C194781_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9DC7ADC0403A5655C686178660D9EB6A__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=385, Duration=3.949635, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionIdB9DA1381444A642EA8B4B49EEF17FA8D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F0757FD41D16ED6D5D6D2ABAC8EC9B8__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.331199, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
DDCTransactionId72E2989D4FA557A874B61097BC5F64A8_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_361AA0AB4E66668C773F80871AB7565A__1_0_13123_0, StartTime=2016.06.02-17.06.23, HierarchicalDDC=, DataSize=347, Duration=1.399871, RunGuid=RunID0B21AE8E4F440AD1D6733784330D7D5B
