CookerStat, GenerateAssetRegistry=0.024632, Initialize=0.123434, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0E51B2B4348D73E7F865ABA33A66DBF__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=397, Duration=1.590796, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A24DEE754077740AFAE9C0A57682994C__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=492, Duration=3.959559, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E7C3BBD470D71553626C6840BF2CD7B__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=378, Duration=1.355004, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4FF61B8848E627D7DA0CC6965F23248A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=390, Duration=1.419485, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_35F70092482BAFA52EB713B1D3832DA2__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=378, Duration=1.450758, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId3EEEC6D742895D1930DFB7AC7F4DAE33_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFBCEBF840CF58351083C2BA0B7258C1__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=411, Duration=3.611676, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9170ABD4871EB675C0DFB9E271D87C5__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.742184, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3D7FE9045B1B965E803838AE1482C23__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=385, Duration=1.389042, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionId0E6C22524839905CB1111989E680C71B_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CE1EEA9C4BAF8FBDB03D63A85C370CCD__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=3.497653, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
DDCTransactionIdDF024F8842F92327D86898B74845CF2C_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B76A032476F8A47CD744D9B0A80D61A__1_0_13123_0, StartTime=2016.06.01-10.53.04, HierarchicalDDC=, DataSize=347, Duration=1.474284, RunGuid=RunID0D66C12B4314D8EAFC36CF8383008A7C
