CookerStat, GenerateAssetRegistry=0.022139, Initialize=0.122603, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5048F6B746DD5986ECB858BB6D66B318__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=397, Duration=1.554817, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F4B9FE848FB33C199D8E183573BBF20__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=492, Duration=3.986959, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_24248E2641D742102615728739F6B431__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=378, Duration=1.659159, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_41B902B44AD9B203003591BE181408D0__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=390, Duration=1.601592, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2C8BD2594786ED12641E13B6BD09903C__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=378, Duration=1.448821, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A660F784EE4C4CB3564228F7B33BDDE__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=411, Duration=1.621798, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BFC2D2D648327CC5560EBE93D181A36D__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.393195, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2CB0AB8242A0A32A1F6B29B8610EEBBD__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.844030, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4802395148394E5114394CB9BFC1E977__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.632590, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_915F0E244A02E5035F98B5BC1350BA80__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.719769, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A37CCBC548E0F8EC03575F93263B1B96__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=1.831576, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_60A15B954C2A0710B5E84BA23CEB1898__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=4.402093, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_54B73465493BB06E56F61E9773813CC1__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.731668, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6473E1F84A2634E3399F078D9CABE748__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.741353, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F09F8FD4AF89714E1196E9657D17219__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=428, Duration=1.856208, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DE1BB2F94FBB7BF4CB2293A0F14AE80D__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=397, Duration=1.654729, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BCF732004DA9C97AD9ECC59E73AE3984__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.827702, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4661163140CD36FF860817B9833E5105__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.821890, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3450299449607303F78AB2AB462B3BF7__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=516, Duration=2.046615, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_45D5D22A47666BE43765329860E6638D__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=378, Duration=1.758516, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79C7DC834ADF0BF7259E868B147EFF94__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=390, Duration=1.748271, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_16B938FF4DEB58A05B424A8432EDEBFE__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=1.490887, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA5E54174D3E3D00BA7104BD79DD9A14__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=2.209075, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_62976E0341638C44EA2D9D8710A39724__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=385, Duration=3.738154, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8F327E2B46232CB1554A74A9DB2B08FC__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=347, Duration=3.420990, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_51C135694E3927A3D02A3E9A02E8CF3D__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.798645, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId1DB3343340CBAD402AE8DEA882D275FD_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_671E3E9D428A42866CA073A9DD696649__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=328, Duration=3.564626, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A2D0A2034D7CFCE71F0D8ABFEB8693D8__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.449928, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_976E0CE34CEB39DD610643BA6E895579__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=473, Duration=2.069589, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionIdD06C4BFA4C0781BEC5826CB24A9C0DAF_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DC41C044836B870F76B17A9FB1E880A__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.710910, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
DDCTransactionId157BF96E48475E17B1BBA69F599D1257_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAC0A4084FE344EF9BDCD683638AF10F__1_0_13123_0, StartTime=2016.06.01-11.03.28, HierarchicalDDC=, DataSize=366, Duration=1.399558, RunGuid=RunID7CF5B26843EBB3941DC797A587B22B64
