CookerStat, GenerateAssetRegistry=0.024907, Initialize=0.119559, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F8C5205545BD0EC3F03457AE143F4__346F27B0CD7AD9C218A8D99582FD6CAF9EA3A20A, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=65799, Duration=4.226353, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F8C5205545BD0EC3F03457AE143F4__725DFCE58D273C916136170A488BC2A9F937C2DC, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=16647, Duration=4.213900, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4E4BBBD14B49987E37EA21A30E4E9954_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B7A80D8A4119A04CE304D3BA613A7759_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.01-16.26.11, Duration=13.837293, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F8C5205545BD0EC3F03457AE143F4__964C9576152F44FA1A8A8A9451FDEEA9816A64C3, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=6899, Duration=5.137715, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B7A80D8A4119A04CE304D3BA613A7759__9162A1D62AB745B6F34DE9A5110D2F231924C0B7, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=131332, Duration=4.462152, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B7A80D8A4119A04CE304D3BA613A7759__7096F3754653A0380331E82D266DC3C22315326A, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=33028, Duration=4.391026, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B7A80D8A4119A04CE304D3BA613A7759__989E030FF00A35D4E26E8BE1E02EEC5A6BDFDF39, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=8452, Duration=4.344810, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4E4BBBD14B49987E37EA21A30E4E9954_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_78E6E6644DF0298746741885D516E1C2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.01-16.26.11, Duration=4.027091, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_B7A80D8A4119A04CE304D3BA613A7759__99C0E1FDEF1E2E3ADA2D9C500D4A485D4735A90F, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=4143, Duration=4.535217, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_78E6E6644DF0298746741885D516E1C2_0__03AB9C173C145434E46FC58224FFEB8652976DEA, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=131330, Duration=3.751438, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_78E6E6644DF0298746741885D516E1C2_0__3CBD5007C704884BFA48259C47AA6E9F02B29973, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=33026, Duration=3.664263, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_78E6E6644DF0298746741885D516E1C2_0__D93530AE6B98B3E1F34D64985719621A6E00FE86, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=8449, Duration=5.080428, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_78E6E6644DF0298746741885D516E1C2_0__2A37B1BFA659C93B5B8B0CA5CD260FC0A458ADC7, StartTime=2016.06.01-16.26.11, HierarchicalDDC=, DataSize=4119, Duration=5.034208, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86CAD97E4E65A7F99B1B44A1E8DF6F2C__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=458, Duration=2.678174, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DE6CCE9440C7C412CDE308EA228E838__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=458, Duration=2.423007, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdA0359E1A49F255BD145E3DB70730574C_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E2DECED641BE9BA5E4B0259D2491D6A2__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=41930, Duration=4.041761, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionIdCE26DBFE414C70B4425D05AF0EBB31B5_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_337FB8174D1995A3FE4046BB0130C8ED__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=23384, Duration=4.076351, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
DDCTransactionId4AE532F5446B36CBFB6BB0940162BC39_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DFA5C071496D29776491DAA97389F9CC__1_0_13123_0, StartTime=2016.06.01-16.26.24, HierarchicalDDC=, DataSize=21968, Duration=3.976721, RunGuid=RunID17A0B43445E9ACF4492188B739AE13F0
