CookerStat, GenerateAssetRegistry=0.023246, Initialize=0.118174, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8F2EF5F242950A0469A58B92400F6137__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=397, Duration=1.510538, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4A4B11246889F04BCFE2DBDFB73EB10__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=492, Duration=3.770258, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D76FECA4D358A0DF96DC0809074C7BA__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=378, Duration=1.840435, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5CD3BC84185EC3ED6842B8FDE4152C5__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=390, Duration=3.228366, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A01CF2BD4A5D2854DDCEE7AEAB9B66A0__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=378, Duration=3.557157, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA0E949C48DDDF051993A1A0F2920F39__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=411, Duration=1.863129, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F26C1E5A426AA7F00BC36C8F91719C6B__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=1.625113, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId18B213EC464963084960F0A702D99701_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E2CE63D040C266811E1C2DA23BD0F675__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=385, Duration=1.589693, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId0B53DA2845C7F01F341B7DA7C8F6FE25_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4DF46BC94D02FDD33422AA986F1A42B4__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=4.057530, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
DDCTransactionId61AF4D9B402F0DA6130C5DB7D5EE665C_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F7AAEA7847165A6B29522587C6EA72E1__1_0_13123_0, StartTime=2016.06.01-17.12.07, HierarchicalDDC=, DataSize=347, Duration=4.951183, RunGuid=RunID126C833E4F524CD0F9DB36B2DEDC98D3
